question,answer
"It is really great to see exponential growth of AppliedAI. Team's efforts to consider each and every concern, and work on it is very much appreciable. Very soon AppliedAI will be one of top most and successful teaching platform.",Thank you for the kind words and the trusting us. We make sure every student who has trusted us will succeed through our course.
"I also want to make a startup like you in the AI field, this course give me  a good start for ml and deep learning. Till the end of my B.tech ,I want to gain as much as knowledge as possible, or i can say as impossible.Now, finished my first year.
Fully passionate for completing the case studies.","Learn as much as you can from this course and after your 2nd year onwards, start internships and by the time you sit for placements in your final year, you'll get as much exposure. In case if you are interested in  product development companies, along with ML, also gain strong command on CS fundamentals like Data Structures & Algorithms, Design Patterns, Operating Systems, Computer Networks, DBMS. Regarding the start up plans, once if you have some experience of around 3-5 years in the corporate, you can  think of a new startup because in order to run a startup along with the technical stuff, you also need management skills."
"sir, thanks for wonderful suggestions. But  What you suggest me regarding internships, I want to get some real world exposure by doing internship  in these summer vacations, I completed 10 to 11 assinments,
Now In 10 to 15 days I 'll complete all course content, just case studies 'll left after that.
I have full june month for completing some case studies and refresh concepts about machine learning then till the end of june ,I'll apply for internsip.
Is this good idea.","Make sure your internship doesn't clash with your classes in college. Yes you can start applying for internship once if you finish the course. Once if you finish all the course content, there are chances for you to crack internships in top IT companies"
What are design patterns?,"https://en.wikipedia.org/wiki/Software_design_pattern
& https://www.geeksforgeeks.org/design-patterns-set-1-introduction/"
"Hi
first of all thank you for great course
Can you please provide some modules for reinforcement learning.","Adding more content to the current course would make it quite bulky for most of our students to finish and stay motivated through the course. Hence, we did not add Reinforcement Learning (RL) to it as of now. We do not want out our students to be overwhelmed by the course content and workload. While we want to add more content, we don't want to overburden the students.

We will probably create a new course (or) add RL to this course itself in the future (no guarantees) as optional topics. It should be easy for any of our students to pick up RL once they finish this course as they have all of the background in Maths and Deep-Learning.  Please note that no course can cover everything in ML. Often the content in this course itself is split across 2-3 courses. But we designed the course such that students can pick up new concepts fairly easily at the end of the course. Actually, some of our students have picked up RL at the end of this course fairly easily."
"Hi
Then I suggest please add another course for RL. I joined course not due to lack of material for ML online but due to organization and flow of course and the way you teach. So  I request you to please consider this request seriously. I will happily pay for another course from you.",We will surely inform you once we have the Reinforcement course ready (or) when we add RL as an optional content for this course.
"Hi team,
Thank you for your all efforts taken for designing such great content. Especially Varma sir's way of teaching and explaining difficult concepts in a very easy-to-understand manner is praiseworthy.
I have been doing this course for 4 months now and from my experience, I can say that your hard work reflects through all the components of this course, be it teaching, live lectures, doubt solving or the assignments.
I have one suggestion, 
It will be great if you make a telephone line available for doubt clarification regarding the assignments. Many times it's a small workaround that fixes the bug, but waiting for your reply via mail takes about a day and this, in turn, hampers the course progress.
Please make a telephonic helpline available for doubt clarification.",We encourage for doubts through mails. You can contact us at +918106920029/+916301939583 in case if you are looking for a phone call conversation with us.
Can we expect Reinforcement Learning to be added soon??..,"Please go through the comment thread:
http://www.appliedaicourse.com/course/11/applied-machine-learning-online-course#comment346"
"Sir, If this is the case, then my suggestion would be to give some introduction course about reinforcement learning and make it as optional.",We'll think of it.
It would be great in case there be a deep dive in Reinforcement Learning,So far we are not looking towards addding Reinforcement learning. But in future we may add it and you will be able to access it.
Once our validity gets over can we see those videos if you upload in future and do we need pay seperately for that ?,"Once if the course validity is over, you'll not be able to access any content in both website and classroom."
Sir i3 processor with 8Gb RAM is fine to complete this course,Yes it is enough.
Can I learn artificial intelligence in the field of mechatronics?,Please drop us your query at team@appliedaicourse.com. so that we can assist you better.
"HI Team,
I have 10+ years experience in IT. Currently working in Banking product implementation. My main concern is whether switching to AI/ML platform after 10+ experience is right was forward. Is it worth to take the risk of changing the domain now? My contact number: 98941 68004.",See I will suggest it is never late to switch the skills set.If you really want the edge over new skills you can consider it.It totally depends on the interest of one.
"Would like to suggest one functionality.
If you would create one dashboard where will get a ranking based on the respective assignment. It will be great.",Thanks for the suggestion!
"Hi 
Do I get certification after completing my appliedAI course?","Once after completion of the total course, we will send the certificate of completion through Email."
"sir,
In google classroom we can see there are 30 assignments, but in modules there are only 26 assignments including optional, is the number of assignments are reduced?",You will see the other ones in the case studies at the bottom. Also you'll see them getting added in your classroom as you keep progressing through the course.
"How many real-world projects can be done by your course in data science?
How many real-world projects can be done by your course in machine learning?
What is the average package of the students who got placed from your course?
Are all students get the same projects, or each student gets different projects?
Waiting for reply. Thanks in advance",Please call us at 6301-939-583 (or) 8106-920-029. We'll clarify all your doubts.
"Is the syllabus given fixed. I mean is the content team adding new lectures , assignments or case studies ? It would be great to see reinforcement learning added , at least as optional so as to not burden the student with heavy syllabus.
RL is turning out be a very promising field in ML with very interesting applications  .This would be really helpful for those who need it. Thanks",Syllabus  is not fixed we keep adding the contents with time.We appreciate you suggestion and will look forward to it.
"Hi Team,
Can you please provide the assignments at the end of each module which will directly take us to google classroom's assigment?
And provide tick(like for videos) once the assignment is completed and graded by you.",Please drop a mail at team@appliedaicourse.com
"Hi AAIC,

My friend attended interview with Accenture with 2 years Data Science Experience, below are the list of questions was asked to him:

1. Explain about yourself
2. Explain the projects that you worked for
3. What is the difference between logistic and linear
4. What is SIgmoid function
5. What is the difference between sigmoid and softmax function 
6. what is validation
7. what s statification
8. what is bootstrap validation
9. What is cost function
10. Why is cost function so important in model
11. When did you apply cost function 
12. What is optimizer
13.I have 10 Million records with 60 features, what is your approch to build a logistic regression 
 a. which validation you choose
 b. which model you choose
 c. Which optimizer you choose
 d  list the optimizers you know and explain the best one you choose for this problem
 e. Where do you get the data ? is it from online or warehouse?

14.what is clustering and explain various clustering algorithms
15. Write psudo code of Density based clustering
16.Have you ever worked on SVM ? tell me the advantages
17. What is the node entropy
18. How is Rnadom forest is different from Xgboost
19. What are the most significant parameters for the xgboost
20 Why you preferr XG boost for both Liner and logistic
21. What is PCA
22. I applied PCA on 50 features and how many new feature will I get 
23 WHat is Eigan vector
24. How you deploy your model into production 
25. What Hadoop cluster you are using

Please give us some links or study materials if you find any topic missed in AAIC course with respect to above-listed questions. 
Thanks","These are some of the easier questions in interviews. We have covered all go these concepts except (Q-25) about Hadoop in our course. 
For Hadoop cluster, I guess the interviewee mentioned that he is working on Hadoop and hence he was asked which version of Hadoop and which distribution of Hadoop and probably what configuration he was using. We have also not covered (Q-1) as it changes from person to person!"
"Hi, can you please explain what is your answer for below questions

22. I applied PCA on 50 features and how many new feature will I get

13. I have 10 Million records with 60 features, what is your approch to build a logistic regression
a. which validation you choose
b. which model you choose
c. Which optimizer you choose
d list the optimizers you know and explain the best one you choose for this problem
e. Where do you get the data ? is it from online or warehouse?",22. You can get any number of features
"I am glad that all videos are searchable now and AppliedAI team really approachable and day by day you  are getting better,   you are reaching the level customer satisfaction is utmost, you guys are rocking...kudos to the entire team..",Thank you for the feedback!
I like this new site.Can you add a feature where I can see the questions that I have asked and liked module wise and chapter wise ?,Thanks for the suggestion!
can you please describe how tough the assignment is  is there nay video of that assignment so that i can judge myself because in most of the video they are saying that assignment are so tough that its impossible to complete the course in 1 year please give me some clarity,if you are motivated enough you can complete in 1year. if you watch all the videos and if you are clear with concepts you can complete assigments smoothly. some assignments takes time i.e also for machine to train the models and team is always there to help you out(btw i completed in 1year except one assignment)
so if in any case i am stuck at my assignments and i dont know what to do then who will help me and if u guys help me in the assignment then will i be consider for placements,"We'll be helping you out with the assignments and course queries. Yes, you'll be considered."
"and please tell how much students of yours have completed the full course in 1 year ratio wise ...i have a phobia of maths but i know programming ...so can i easily understand the algo like random forest knn,, nd other algo like these buy just watching your videos with 100% intrest",Please send an email to team@appliedaicourse.com
By adding Quiz at the end of every concept/chapter will help students better understanding and motivating?,"As of now, we do not have any plans of it. But in future, we may add it."
